"AMA_SITE_CODE","NATTS","state_name","Setting","location","1,3-Butadiene","Acetaldehyde","Arsenic Pm10 Lc","Benzene","Benzo(a)pyrene (total tsp & vapor)","Beryllium Pm10 Lc","Cadmium Pm10 Lc","Carbon tetrachloride","Chloroform","Chromium VI (LC)","Ethylbenzene","Ethylene dichloride","Formaldehyde","Lead Pm10 Lc","Manganese Pm10 Lc","Methylene chloride","Naphthalene (total tsp & vapor)","Nickel Pm10 Lc","Tetrachloroethylene","Toluene","Trichloroethylene","Vinyl chloride"
"040134003","No","Arizona",NA,NA,"Decreasing","Undetermined",NA,"No Trend",NA,NA,NA,"No Trend","No Trend",NA,"Decreasing","No Trend","Undetermined",NA,NA,"No Trend",NA,NA,"No Trend","Decreasing","Undetermined","Undetermined"
"040134009","No","Arizona",NA,NA,NA,NA,"Undetermined",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,"Undetermined","Undetermined",NA
"040139997","Yes","Arizona","Urban","Phoenix, AZ","Decreasing","Decreasing","No Trend","Decreasing","No Trend","No Trend","Decreasing","No Trend","Decreasing","No Trend","Decreasing","Increasing","Decreasing","No Trend","No Trend","No Trend","No Trend","No Trend","Decreasing","Decreasing","Decreasing","Undetermined"
"040191009","No","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"040191023","No","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"040218001","No","Arizona",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"050890001","No","Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"051190007","No","Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"051191007","No","Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"051310008","No","Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"060010003","No","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"060010006","No","California",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,"Undetermined",NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"060010007","No","California",NA,NA,"Undetermined",NA,NA,"No Trend",NA,NA,NA,"No Trend","No Trend",NA,"No Trend","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"No Trend","Decreasing","Undetermined","Undetermined"
"060010008","No","California",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"060010009","No","California",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"060010011","No","California",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"060010012","No","California",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"060011001","No","California",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,NA,"Undetermined",NA,"Undetermined",NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined",NA
"060012004","No","California",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"060012005","No","California",NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"060070002","No","California",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,NA,"Undetermined",NA,"Undetermined",NA,"Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined",NA
"060070008","No","California",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,"Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined",NA
"060130002","No","California",NA,NA,"Undetermined",NA,NA,"Decreasing",NA,NA,NA,"Decreasing","Increasing",NA,"Decreasing","Undetermined",NA,"Undetermined",NA,"Undetermined",NA,NA,"No Trend","Decreasing","Undetermined","Undetermined"
"060130006","No","California",NA,NA,"Undetermined",NA,NA,"No Trend",NA,NA,NA,"No Trend","No Trend",NA,"No Trend","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"No Trend","Decreasing","Undetermined","Undetermined"
"060131001","No","California",NA,NA,"Undetermined",NA,NA,"No Trend",NA,NA,NA,"No Trend","No Trend",NA,"Undetermined","Undetermined",NA,NA,NA,"Decreasing",NA,NA,"No Trend","Decreasing","Undetermined","Undetermined"
"060131002","No","California",NA,NA,"Undetermined",NA,NA,"Decreasing",NA,NA,NA,"No Trend","No Trend",NA,"Undetermined","Undetermined",NA,"Undetermined",NA,"Undetermined",NA,NA,"Decreasing","No Trend","Undetermined","Undetermined"
"060131003","No","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"060131004","No","California",NA,NA,"No Trend",NA,NA,"Decreasing",NA,NA,NA,"No Trend","No Trend",NA,"No Trend","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Decreasing","No Trend","Undetermined","Undetermined"
"060132001","No","California",NA,NA,"Undetermined",NA,NA,"Decreasing",NA,NA,NA,"No Trend","No Trend",NA,"Decreasing","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Decreasing","No Trend","Undetermined","Undetermined"
"060133001","No","California",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"060190008","No","California",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,"Undetermined",NA,"Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined","Undetermined",NA
"060190011","No","California",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,"Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined",NA
"060193002","No","California",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,NA,"Undetermined",NA,"Undetermined",NA,"Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined",NA
"060250004","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"060250005","No","California",NA,NA,"No Trend","Decreasing","Undetermined","Decreasing",NA,NA,NA,"Undetermined","No Trend",NA,"Decreasing",NA,"No Trend","Undetermined","Undetermined","No Trend",NA,"Undetermined","Decreasing","No Trend","No Trend",NA
"060251003","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"060271001","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"060271003","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"060290014","No","California",NA,NA,"No Trend","No Trend","Undetermined","Decreasing",NA,NA,NA,"Undetermined","Increasing",NA,"Undetermined",NA,"Increasing","Undetermined","Undetermined","No Trend",NA,"Undetermined","No Trend","Decreasing","Undetermined",NA
"060292004","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"060310003","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"060310004","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"060333010","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decreasing","No Trend",NA,NA,"Undetermined",NA,NA,NA,NA
"060333011","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Decreasing","No Trend",NA,NA,"Undetermined",NA,NA,NA,NA
"060370002","No","California",NA,NA,"Decreasing","No Trend","Undetermined","Decreasing",NA,NA,NA,"Undetermined","No Trend",NA,"Decreasing",NA,"No Trend","Undetermined","Undetermined","Decreasing",NA,"Undetermined","Decreasing","Decreasing","No Trend",NA
"060371002","No","California",NA,NA,"No Trend","No Trend",NA,"Decreasing",NA,NA,NA,"Undetermined","No Trend",NA,"Decreasing","Undetermined","No Trend",NA,NA,"No Trend",NA,NA,"Decreasing","Decreasing","No Trend",NA
"060371103","Yes","California","Urban","Los Angeles, CA","Decreasing","No Trend","No Trend","Decreasing","No Trend","Decreasing","Decreasing","Increasing","No Trend","Decreasing","No Trend","Increasing","No Trend","Decreasing","No Trend","No Trend","No Trend","No Trend","Decreasing","Decreasing","Decreasing","Undetermined"
"060371302","No","California",NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined",NA
"060371601","No","California",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,NA,"Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined",NA
"060371602","No","California",NA,NA,NA,"No Trend",NA,"Decreasing",NA,NA,NA,NA,NA,NA,"Decreasing",NA,"No Trend",NA,NA,NA,NA,NA,NA,"Decreasing",NA,NA
"060374002","No","California",NA,NA,"No Trend","Decreasing","Undetermined","Decreasing",NA,NA,NA,"Undetermined","No Trend",NA,"Decreasing","Undetermined","Decreasing","Undetermined","Undetermined","No Trend",NA,"Undetermined","No Trend","Decreasing","No Trend",NA
"060375001","No","California",NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"060375005","No","California",NA,NA,NA,NA,NA,"Decreasing",NA,NA,NA,NA,NA,NA,"Decreasing",NA,NA,NA,NA,NA,NA,NA,NA,"Decreasing",NA,NA
"060376012","No","California",NA,NA,NA,"Decreasing",NA,"Decreasing",NA,NA,NA,NA,NA,NA,"Decreasing",NA,"Decreasing",NA,NA,NA,NA,NA,NA,"Decreasing",NA,NA
"06037L0HP","No",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined",NA
"06037LWLB","No",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined",NA
"060390001","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"060410001","No","California",NA,NA,"Undetermined",NA,NA,"Decreasing",NA,NA,NA,"No Trend","Increasing",NA,"Decreasing","Undetermined",NA,"Undetermined",NA,"Undetermined",NA,NA,"Decreasing","Decreasing","Undetermined","Undetermined"
"060410004","No","California",NA,NA,"Undetermined",NA,NA,"Decreasing",NA,NA,NA,"Decreasing","No Trend",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Decreasing","Decreasing","Undetermined","Undetermined"
"060550003","No","California",NA,NA,"No Trend",NA,NA,"Decreasing",NA,NA,NA,"No Trend","No Trend",NA,"Decreasing","Undetermined",NA,"Undetermined",NA,"Undetermined",NA,NA,"Decreasing","No Trend","Undetermined","Undetermined"
"060590001","No","California",NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined",NA
"060610006","No","California",NA,NA,"Decreasing","No Trend",NA,"Decreasing",NA,NA,NA,"Undetermined","No Trend",NA,"Undetermined",NA,"Increasing",NA,NA,"No Trend",NA,NA,"No Trend","Decreasing","Undetermined",NA
"060631008","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"060650012","No","California",NA,NA,NA,"No Trend",NA,"No Trend",NA,NA,NA,NA,NA,NA,"Decreasing",NA,"No Trend",NA,NA,NA,NA,NA,NA,"No Trend",NA,NA
"060653011","No","California",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"060653012","No","California",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"060658001","Yes","California","Urban","Rubidoux, CA","No Trend","Decreasing","Decreasing","Decreasing","No Trend","No Trend","No Trend","Increasing","Increasing","Decreasing","Decreasing","Increasing","No Trend","Decreasing","No Trend","Increasing","No Trend","No Trend","Decreasing","Decreasing","No Trend","Undetermined"
"060670006","No","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"060670010","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"060710014","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"060711004","No","California",NA,NA,NA,NA,NA,"Decreasing",NA,NA,NA,NA,NA,NA,"No Trend",NA,NA,NA,NA,NA,NA,NA,NA,"No Trend",NA,NA
"060712002","No","California",NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined",NA
"060730001","No","California",NA,NA,"Decreasing","No Trend",NA,"Decreasing",NA,NA,NA,"Undetermined","No Trend",NA,"Undetermined",NA,"No Trend",NA,NA,"No Trend",NA,NA,"Decreasing","Decreasing","Decreasing",NA
"060730003","No","California",NA,NA,"No Trend","No Trend",NA,"Decreasing",NA,NA,NA,"Undetermined","No Trend",NA,"Decreasing",NA,"No Trend",NA,NA,"No Trend",NA,NA,"Decreasing","Decreasing","Undetermined",NA
"060730006","No","California",NA,NA,NA,"Increasing",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,"No Trend",NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"060731002","No","California",NA,NA,"No Trend",NA,NA,"No Trend",NA,NA,NA,"No Trend","No Trend",NA,"No Trend","No Trend",NA,NA,NA,"No Trend",NA,NA,"Decreasing","No Trend","No Trend","Undetermined"
"060731006","No","California",NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"060731008","No","California",NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"060731010","No","California",NA,NA,"No Trend","Undetermined",NA,"No Trend",NA,NA,NA,"No Trend","No Trend",NA,"No Trend","No Trend","Undetermined",NA,NA,"No Trend",NA,NA,"Decreasing","Decreasing","Decreasing","Undetermined"
"060731018","No","California",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,"Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined",NA
"060732007","No","California",NA,NA,"No Trend",NA,NA,"No Trend",NA,NA,NA,"No Trend","No Trend",NA,"No Trend","No Trend",NA,NA,NA,"No Trend",NA,NA,"No Trend","No Trend","No Trend","Undetermined"
"060750005","No","California",NA,NA,"No Trend","No Trend",NA,"Decreasing",NA,NA,NA,"Decreasing","Increasing",NA,"No Trend","Undetermined","No Trend","Undetermined",NA,"No Trend",NA,NA,"Decreasing","Decreasing","Undetermined","Undetermined"
"060771002","No","California",NA,NA,"No Trend","No Trend","Undetermined","Decreasing",NA,NA,NA,"Undetermined","Increasing",NA,"Undetermined",NA,"Increasing","Undetermined","Undetermined","No Trend",NA,"Undetermined","Decreasing","Decreasing","Undetermined",NA
"060811001","No","California",NA,NA,"No Trend",NA,NA,"Decreasing",NA,NA,NA,"Decreasing","Increasing",NA,"No Trend","Undetermined",NA,"Undetermined",NA,"Undetermined",NA,NA,"No Trend","No Trend","No Trend","Undetermined"
"060812003","No","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"060850004","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"060850005","Yes","California","Urban","San Jose, CA","No Trend","No Trend","No Trend","Decreasing","No Trend","No Trend","No Trend","No Trend","Increasing",NA,"No Trend","Undetermined","No Trend","No Trend","Increasing","Increasing","No Trend","No Trend","No Trend","Decreasing","No Trend","Undetermined"
"060850006","No","California",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"060852003","No","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"060852005","No","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"060852007","No","California",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"060852008","No","California",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"060852009","No","California",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"060853001","No","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"060855506","No","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"060950004","No","California",NA,NA,"No Trend",NA,NA,"No Trend",NA,NA,NA,"Decreasing","No Trend",NA,"No Trend","Undetermined",NA,"Undetermined",NA,"Undetermined",NA,NA,"Decreasing","No Trend","Undetermined","Undetermined"
"060950006","No","California",NA,NA,"Undetermined","Undetermined",NA,NA,NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined",NA,"Undetermined"
"060970003","No","California",NA,NA,"Undetermined",NA,NA,"No Trend",NA,NA,NA,"No Trend","No Trend",NA,"No Trend","Undetermined",NA,"Undetermined",NA,"Undetermined",NA,NA,"Decreasing","Decreasing","Undetermined","Undetermined"
"060970004","No","California",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"060990002","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"060990005","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"061072002","No","California",NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,NA,NA
"061112002","No","California",NA,NA,"Decreasing","No Trend",NA,"Decreasing",NA,NA,NA,"Undetermined","No Trend",NA,"Undetermined",NA,"No Trend",NA,NA,"No Trend",NA,NA,"Decreasing","No Trend","Undetermined",NA
"080013001","No","Colorado",NA,NA,"Undetermined",NA,NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined",NA,NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"080137001","No","Colorado",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"080137002","No","Colorado",NA,NA,NA,"Undetermined",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"080137003","No","Colorado",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"080137004","No","Colorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"080137005","No","Colorado",NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA
"080310002","No","Colorado",NA,NA,"Undetermined","Undetermined",NA,"Undetermined",NA,NA,NA,"Undetermined","Undetermined",NA,"Undetermined","Undetermined","Undetermined",NA,NA,"Undetermined",NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined"
"080310026","No","Colorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined",NA,NA,NA,NA,NA,NA,NA,NA
"080450005","No","Colorado",NA,NA,"No Trend","Undetermined",NA,"No Trend",NA,NA,NA,NA,NA,NA,"Decreasing",NA,"Undetermined",NA,NA,NA,NA,NA,NA,"No Trend",NA,NA
